Date,Model,MAE,RMSE,
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
2025-12-09_12-39-57,Prophet_Chattisgarh,5.986650914012523,7.975145836942638,2025-11-01,49.72837977651822,39.163992676634194,59.43683918573518
