Date,Model,MAE,RMSE
2025-08-18_11-28-28,Prophet,26.52101557803676,34.55860507409048
2025-08-18_11-39-11,Prophet,26.52101557803676,34.55860507409048
2025-08-18_11-40-46,Prophet,26.52101557803676,34.55860507409048
2025-09-02_12-26-29,Prophet,26.52101557803676,34.55860507409048
2025-09-02_12-40-43,Prophet,25.454132646340977,33.47840532078057
2025-09-02_15-33-05,Prophet,0.001195180619220082,0.0012351776042968485
2025-09-02_15-36-50,Prophet,18.977782175728596,27.07927262283671
2025-09-02_16-08-52,Prophet,19.21429863256738,27.44981708118097
2025-09-02_16-25-34,Prophet,20.584417674198303,28.388556022989135
2025-09-02_16-42-57,Prophet,20.584417674198303,28.388556022989135
2025-09-04_14-13-22,Prophet,37.22853968195492,53.536158268565465
