Date,Model,MAE,RMSE,
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2022-05-01,36.931328565541705,-18.016377085993902,89.36925392545236
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2022-06-01,35.95033290098155,-21.862475984699458,89.89444177061014
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2022-07-01,113.43900091629152,59.458753528212554,167.32328849951838
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2022-08-01,137.47432133713815,86.3911953401483,190.28843398774592
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2022-09-01,92.47419139633519,38.731427152329985,146.5154566239879
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2022-10-01,104.20881871627726,52.40473679601003,157.32027377178045
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2022-11-01,206.0514908575167,148.56020546147712,257.003643259578
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2022-12-01,325.9155776074024,272.2716092318574,383.5658261065381
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2023-01-01,146.75280156667972,93.16216881784065,197.66380752469118
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2023-02-01,39.780016488768936,-14.047204532962539,90.38267676581047
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2023-03-01,66.39974404184966,9.051726487375973,120.84841739808964
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2023-04-01,51.608000250398234,-2.750571985501672,105.61085792501328
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2023-05-01,23.476577965602036,-28.62719152845066,78.13780160072594
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2023-06-01,15.914260359054614,-39.13004683046507,68.24985628581061
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2023-07-01,104.2514021949885,50.52529827047452,158.50561703358326
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2023-08-01,137.7997273833601,86.0525864907305,195.03268666538438
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2023-09-01,82.04294485169581,29.92884539883609,138.09322043904285
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2023-10-01,120.8614344586291,68.08178480486511,175.287021687377
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2023-11-01,257.15587979302296,205.9806293508155,308.43238146739554
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2023-12-01,374.2676986110174,319.2822609135265,424.76914145246747
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2024-01-01,198.25284292722964,146.55646802431366,253.52574338887342
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2024-02-01,61.86285099611073,8.129254410879206,116.31521911036396
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2024-03-01,65.7015645530715,11.998053219250151,117.94833061097404
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2024-04-01,61.99489006128092,10.988167388888463,112.41387404587603
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2024-05-01,69.4629822957666,20.399197621275896,127.65010821655055
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2024-06-01,98.58726574615334,45.54948862964496,151.65113637252517
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2024-07-01,151.03805642185407,98.2332649007863,205.18835614200472
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2024-08-01,187.78310306892595,135.98905383347588,240.78619085384733
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2024-09-01,194.56055416027928,137.8573269608156,247.8155492453191
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2024-10-01,161.20845238602894,107.78324095912544,216.02515660554167
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2024-11-01,330.07857221733684,277.2652422927524,384.92438786690565
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2024-12-01,743.9742375615997,684.6263262265462,793.6112678354531
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-01-01,299.86145180066273,244.9876121726308,355.15077775184864
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-02-01,72.73786254172991,21.11099014962702,121.2247027528591
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-03-01,116.57586084494046,62.44848544555063,175.7285735490876
