Date_forecast,Forecast,Lower Bound,Upper Bound,Accuracy
2020-04-01,22.18850244326346,-12.925128308971331,60.116698466318276,0.7555909846835976
2020-05-01,35.440166587851614,0.04984082460241207,71.07215099965329,0.7555909846835976
2020-06-01,54.895260382318604,21.640821206303148,92.54930488611599,0.7555909846835976
2020-07-01,45.518778988185524,11.009936057631215,80.54707891382729,0.7555909846835976
2020-08-01,55.314463050802686,19.773430810278153,91.26598482271237,0.7555909846835976
2020-09-01,50.648235478831545,13.999456946932103,86.35123925411405,0.7555909846835976
2020-10-01,39.81674920421235,2.3560493744246878,76.15991019939811,0.7555909846835976
2020-11-01,44.96024033353046,9.975654108773801,80.09094710447229,0.7555909846835976
2020-12-01,80.60683180831049,46.220868414014454,117.20771766533328,0.7555909846835976
2021-01-01,57.73430691344904,21.12747303660464,95.71120516888756,0.7555909846835976
2021-02-01,60.819307978309794,26.148489410610125,96.75788625948607,0.7555909846835976
2021-03-01,49.698079808675466,12.852135511803905,85.54582283751189,0.7555909846835976
2021-04-01,26.135791623071214,-10.15539538055322,62.9058311136356,0.7555909846835976
2021-05-01,38.669417693878806,5.856647409988709,75.5784602733255,0.7555909846835976
2021-06-01,55.65218562582668,19.530191951945362,93.78499384040772,0.7555909846835976
2021-07-01,57.00987204894425,19.723593238591814,92.0714573483012,0.7555909846835976
2021-08-01,58.000127973452955,20.648756355169013,95.96508226616258,0.7555909846835976
2021-09-01,53.11401425102982,16.073671231894274,89.07109253921917,0.7555909846835976
2021-10-01,50.67047145149267,15.810844230554547,88.71223134206159,0.7555909846835976
2021-11-01,55.27627233821438,20.44380938256771,93.20447926496385,0.7555909846835976
2021-12-01,82.85092897584545,44.42883349089714,118.74744276867574,0.7555909846835976
2022-01-01,67.14753465536435,33.412495152158996,104.45085818236561,0.7555909846835976
2022-02-01,56.79535408123553,21.64547355469512,92.33024673457889,0.7555909846835976
2022-03-01,66.83947184283592,30.633450528316818,102.79295124305845,0.7555909846835976
2022-04-01,30.18887910117262,-6.389013303055917,66.50787127665117,0.7555909846835976
2022-05-01,41.50716035557478,5.5261613195824655,76.89420563849023,0.7555909846835976
2022-06-01,55.149208374054886,19.426434080481705,91.48820254497025,0.7555909846835976
2022-07-01,69.81143408047969,35.26556344458481,104.6890721633361,0.7555909846835976
2022-08-01,59.75323894340727,21.49099126094176,97.87806225495599,0.7555909846835976
2022-09-01,54.97129032893375,19.75784867415956,90.27930655648963,0.7555909846835976
2023-01-01,77.08649321929416,41.433100037401175,113.78773817345495,0.7555909846835976
2023-02-01,50.67318717214844,12.933615275386343,91.01348769615812,0.7555909846835976
2023-03-01,86.43260159753503,50.27929545688302,122.114563972322,0.7555909846835976
2023-04-01,34.29797399062285,-1.9651731092602087,71.65227283808457,0.7555909846835976
2023-05-01,43.92131633188801,4.3959284167448285,81.1860620394484,0.7555909846835976
2023-06-01,53.41801015751456,18.753020611321627,87.8922102033168,0.7555909846835976
2023-07-01,87.817782990752,53.60278961960538,123.8197956355268,0.7555909846835976
2023-08-01,66.21936824216688,32.287692313766776,102.85684341355316,0.7555909846835976
2023-09-01,64.14164274282271,29.04759926770071,102.38350572211581,0.7555909846835976
2023-10-01,90.69771792793112,54.82221682326375,128.7738021043012,0.7555909846835976
2023-11-01,96.4418750155227,62.23963637445034,134.8598469319025,0.7555909846835976
2023-12-01,105.02202610149462,70.0583903812516,138.90028824129055,0.7555909846835976
2024-01-01,115.20673103557436,81.32299269171321,149.44888510968747,0.7555909846835976
2024-02-01,57.776495910661325,21.33755343412361,92.50590491773883,0.7555909846835976
2024-03-01,73.78589169170557,37.994675043303545,110.69938352752084,0.7555909846835976
2024-04-01,48.02738878753006,11.549548305221094,85.23780045872887,0.7555909846835976
2024-05-01,78.57969616505666,42.421832233629445,113.80822388007934,0.7555909846835976
2024-06-01,124.64798807845038,88.70016406818768,158.72585413033931,0.7555909846835976
2024-07-01,105.66179656367812,69.36982627484616,142.1922255751743,0.7555909846835976
2024-08-01,131.23661477694526,95.63055703250384,165.6431517894526,0.7555909846835976
2024-09-01,122.71017876643965,86.20208770702216,157.7041874520013,0.7555909846835976
2024-10-01,98.36606079840514,64.65439821408025,135.0888218236566,0.7555909846835976
2024-11-01,113.24463534892375,75.68231419232627,148.93340782256692,0.7555909846835976
2024-12-01,206.7253937782974,170.23757770793685,239.5780288316914,0.7555909846835976
2025-01-01,150.74861518427682,112.29686122019525,188.5231244619555,0.7555909846835976
2025-02-01,161.57503567883836,123.92062548115368,200.707797788586,0.7555909846835976
2025-03-01,134.0380796324843,97.4302221206513,168.87173496358136,0.7555909846835976
2025-04-01,71.6376170301257,35.89913477037215,106.86045899677367,0.7555909846835976
2025-05-01,107.6056022008465,73.02064201428824,143.91614512242464,0.7555909846835976
2025-06-01,157.2194132817355,120.88780474312051,194.51115827912116,0.7555909846835976
2025-07-01,163.34798138591083,125.38691695635018,201.6251168171661,0.7555909846835976
2025-08-01,168.55266517988102,134.2112451090688,203.42615701289225,0.7555909846835976
2025-09-01,156.4819461459342,118.48975172913293,195.4306736960164,0.7555909846835976
2025-10-01,151.2134678624659,115.5962700705207,189.08079453436218,0.7555909846835976
2025-11-01,167.0965322722603,132.48122473782615,203.55630822627293,0.7555909846835976
2025-12-01,253.5009498198209,217.9101147261247,287.8561908612832,0.7555909846835976
2026-01-01,207.96170166608857,169.0561329543178,242.64199957604117,0.7555909846835976
