Date,Forecast,Lower_Interval,Upper_Interval
2020-04-01,22.418257789902864,-47.79350253204959,87.62882504366735
2020-05-01,22.346663173994877,-45.454331460099084,91.34493324370209
2020-06-01,28.05037848034415,-40.56061190825711,97.31339377031709
2020-07-01,79.53969969474183,10.857743514319075,147.95730788395824
2020-08-01,76.44811099613676,2.4719829641436073,143.27413618913818
2020-09-01,90.89111405348083,27.82548708740122,161.0497948966811
2020-10-01,79.14343980501452,5.948813706047896,143.75863802161734
2020-11-01,168.9217672618711,99.88097384311249,235.81252822325575
2020-12-01,346.492980210575,279.5009570010407,411.3685452552859
2021-01-01,58.73574745273871,-6.232568677888398,124.38061048627205
2021-02-01,28.529869425638207,-38.12105041066314,99.33064876184473
2021-03-01,40.86409670001881,-30.027173280822385,104.36300354036646
2021-04-01,33.02785586364613,-30.048487315115974,100.80391723304834
2021-05-01,26.375101635350585,-41.56747595743037,91.68207629589735
2021-06-01,29.007789669415445,-36.359885787405915,92.56096567243716
2021-07-01,110.41317959597772,46.990460869332196,171.90571167240668
2021-08-01,111.83432507621546,41.633626397479595,185.49080578795838
2021-09-01,109.4649531802797,37.805181627533656,174.88026707743302
2021-10-01,108.31366827457062,41.61530802530576,172.18072751754272
2021-11-01,230.01319808197772,157.28163776173278,300.0040357525774
2021-12-01,403.2767002865771,332.95341377654734,472.4851349024852
2022-01-01,107.44364390515632,40.44028515023344,172.9955865555918
2022-02-01,36.53295343188426,-26.798520234695403,103.51157983419452
2022-03-01,44.72155870719073,-24.40276917599451,105.7093733485099
2022-04-01,41.67511728514608,-26.61027376060439,112.2436477184366
2022-05-01,25.84330567174872,-39.82404315555984,99.62681448903956
2022-06-01,23.1722209557177,-37.27427661753452,89.87777456497231
2022-07-01,126.60406762252498,61.928136800377004,194.3582653721172
2022-08-01,131.67226949520742,67.29596006877763,198.86789223975535
2022-09-01,104.76178050528148,37.216091874827605,171.41686727634226
2022-10-01,116.99855741864327,42.9517815664645,189.33066929819978
2022-11-01,242.90924668650632,173.88703617256314,312.16803458516085
2022-12-01,356.75825792753017,289.8317940781358,424.15284128815193
2023-01-01,140.26573272563832,71.17955650822611,210.24773131069668
2023-02-01,37.424510945592836,-28.61341837347627,106.72004146030389
2023-03-01,39.936719003406644,-31.884586047385444,110.73482279296331
2023-04-01,44.13625434126683,-30.502373486732974,108.77024508191067
2023-05-01,21.152131494044998,-44.428021406972974,85.39870023202788
2023-06-01,13.913497390391095,-54.744183791410784,77.53564107208216
2023-07-01,131.15236618144235,65.90525044263039,199.36503537271207
2023-08-01,141.8764143092099,71.03163326018016,210.8492116930941
2023-09-01,93.58431458230451,22.288174185637224,157.55938782139364
2023-10-01,121.51431385336913,47.68890318120968,191.29017950382584
2023-11-01,264.1617625063595,198.75662843530267,329.5942809245038
2023-12-01,344.0647568886263,280.5672923070259,410.76000792452896
2024-01-01,200.1522131994261,136.85486434093087,267.2204041292244
2024-02-01,45.969000729480456,-25.069870453155794,109.69123212184219
2024-03-01,65.62900755634088,1.198012844580482,137.5365097731874
2024-04-01,45.79596417998218,-23.264038839460955,110.89100339326095
2024-05-01,46.03960368413537,-15.00733355585363,113.03495301253666
2024-06-01,58.267900535715924,-11.124552588608227,127.11916924139315
2024-07-01,166.46242234769147,98.38783594165021,232.06694673554776
2024-08-01,161.15615294395022,94.4504043129088,229.30235795036424
2024-09-01,192.91343591118206,124.91880484174511,263.9797288643261
2024-10-01,169.02801021483478,99.58156258556598,241.670757885291
2024-11-01,362.9677979710456,295.5954618406609,429.93792768972145
2024-12-01,748.6751339050484,682.3699247343854,813.6555368752039
2025-01-01,127.60509842606996,53.14364326754716,192.28173746105867
2025-02-01,62.30307249453607,-2.885518851328641,133.67404001372114
2025-03-01,89.63571639765627,21.87726601801481,151.89344397872475
2025-04-01,72.7873061337032,9.344855197222797,142.56159908792492
2025-05-01,58.377638525776774,-7.023364407850207,128.2674876750124
2025-06-01,64.47881593546218,-4.51087623443409,127.66009905391198
2025-07-01,246.395526200604,176.61588365248758,313.77782986868397
