2025-08-07 10:51:23 | SCM-Data-Clean | INFO | Creating Clean Product Column.......
2025-08-07 10:51:23 | SCM-Data-Clean | INFO | Sucessfully Created Product Column.

2025-08-07 10:51:23 | SCM-Data-Clean | INFO | Dropping NA value in Product Columns.......
2025-08-07 10:51:23 | SCM-Data-Clean | INFO | Number of rows removed: 4944

2025-08-07 10:51:24 | SCM-Data-Clean | INFO | Converting Billing Date to datetime format.......
2025-08-07 10:51:24 | SCM-Data-Clean | INFO | Creating Month Column......
2025-08-07 10:51:25 | SCM-Data-Clean | INFO | successfully Created Month Column.

2025-08-07 10:51:25 | SCM-Data-Clean | INFO | Creating Season Column.......
2025-08-07 10:51:25 | SCM-Data-Clean | INFO | Successfully Created Season column.

2025-08-07 10:51:25 | SCM-Data-Clean | INFO | Creating FY Column..........
2025-08-07 10:51:25 | SCM-Data-Clean | INFO | Successfully Created FY Column

2025-08-07 10:51:26 | SCM-Data-Clean | INFO | Creating State Columns.......
2025-08-07 10:51:26 | SCM-Data-Clean | INFO | Successfully Created State Columns

2025-08-07 10:51:26 | SCM-Data-Clean | INFO | Mapping Dealership to District Column....... 
2025-08-07 10:51:26 | SCM-Data-Clean | INFO | Number of rows where district is not found:7573
2025-08-07 10:51:27 | SCM-Data-Clean | INFO | Filtering Mahalaabh and Gr. from the data.....
2025-08-07 10:51:27 | SCM-Data-Clean | INFO | Number of rows after filtering:(33093, 15)

2025-08-07 10:51:28 | SCM-Data-Clean | INFO | Converting Kg to MT.....
2025-08-07 10:51:28 | SCM-Data-Clean | INFO | Sucessfully Converted Kg to MT

2025-08-07 10:51:28 | SCM-Data-Clean | INFO | 1035.8709999999994
2025-08-07 10:51:28 | SCM-Data-Clean | ERROR | Error occured while creating monthly data:No axis named State for object type DataFrame
2025-08-07 10:55:52 | SCM-Data-Clean | INFO | Creating Clean Product Column.......
2025-08-07 10:55:52 | SCM-Data-Clean | INFO | Sucessfully Created Product Column.

2025-08-07 10:55:52 | SCM-Data-Clean | INFO | Dropping NA value in Product Columns.......
2025-08-07 10:55:53 | SCM-Data-Clean | INFO | Number of rows removed: 4944

2025-08-07 10:55:53 | SCM-Data-Clean | INFO | Converting Billing Date to datetime format.......
2025-08-07 10:55:53 | SCM-Data-Clean | INFO | Creating Month Column......
2025-08-07 10:55:53 | SCM-Data-Clean | INFO | successfully Created Month Column.

2025-08-07 10:55:53 | SCM-Data-Clean | INFO | Creating Season Column.......
2025-08-07 10:55:53 | SCM-Data-Clean | INFO | Successfully Created Season column.

2025-08-07 10:55:54 | SCM-Data-Clean | INFO | Creating FY Column..........
2025-08-07 10:55:54 | SCM-Data-Clean | INFO | Successfully Created FY Column

2025-08-07 10:55:54 | SCM-Data-Clean | INFO | Creating State Columns.......
2025-08-07 10:55:54 | SCM-Data-Clean | INFO | Successfully Created State Columns

2025-08-07 10:55:54 | SCM-Data-Clean | INFO | Mapping Dealership to District Column....... 
2025-08-07 10:55:55 | SCM-Data-Clean | INFO | Number of rows where district is not found:7573
2025-08-07 10:55:55 | SCM-Data-Clean | INFO | Filtering Mahalaabh and Gr. from the data.....
2025-08-07 10:55:55 | SCM-Data-Clean | INFO | Number of rows after filtering:(33093, 15)

2025-08-07 10:55:55 | SCM-Data-Clean | INFO | Converting Kg to MT.....
2025-08-07 10:55:55 | SCM-Data-Clean | INFO | Sucessfully Converted Kg to MT

2025-08-07 10:55:55 | SCM-Data-Clean | INFO | 1035.8709999999994
