2025-08-05 14:36:32 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-05 14:36:32 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-05 14:36:32 | Load_data_set_files | INFO | successfully Concated df's

2025-08-05 14:36:32 | Load_data_set_files | INFO | Columns are already Present in the Data.

2025-08-05 14:36:32 | Load_data_set_files | INFO | Load Data Set Completed

2025-08-05 14:44:06 | Load_data_set_files | INFO | Loading Dataset.........
2025-08-05 14:44:09 | Load_data_set_files | INFO | Dataset completly loaded 

2025-08-05 14:44:09 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-05 14:44:09 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-05 14:44:09 | Load_data_set_files | INFO | successfully Concated df's

2025-08-05 14:44:10 | Load_data_set_files | INFO | Columns are already Present in the Data.

2025-08-05 14:44:10 | Load_data_set_files | INFO | Load Data Set Completed

2025-08-05 15:09:54 | Load_data_set_files | INFO | Loading Dataset.........
2025-08-05 15:09:59 | Load_data_set_files | INFO | Dataset completly loaded 

2025-08-05 15:09:59 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-05 15:09:59 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-05 15:09:59 | Load_data_set_files | INFO | successfully Concated df's

2025-08-05 15:09:59 | Load_data_set_files | INFO | Columns are already Present in the Data.

2025-08-05 15:09:59 | Load_data_set_files | INFO | Load Data Set Completed

2025-08-05 15:11:58 | Load_data_set_files | INFO | Loading Dataset.........
2025-08-05 15:12:07 | Load_data_set_files | INFO | Dataset completly loaded 

2025-08-05 15:12:07 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-05 15:12:07 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-05 15:12:07 | Load_data_set_files | INFO | successfully Concated df's

2025-08-05 15:12:07 | Load_data_set_files | INFO | Columns are already Present in the Data.

2025-08-05 15:12:07 | Load_data_set_files | INFO | Load Data Set Completed

2025-08-05 16:00:01 | Load_data_set_files | INFO | Loading Dataset.........
2025-08-05 16:00:05 | Load_data_set_files | INFO | Dataset completly loaded 

2025-08-05 16:00:05 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-05 16:00:05 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-05 16:00:05 | Load_data_set_files | INFO | successfully Concated df's

2025-08-05 16:00:05 | Load_data_set_files | INFO | Columns are already Present in the Data.

2025-08-05 16:00:05 | Load_data_set_files | INFO | Load Data Set Completed

2025-08-05 16:16:13 | Load_data_set_files | INFO | Loading Dataset.........
2025-08-05 16:16:18 | Load_data_set_files | INFO | Dataset completly loaded 

2025-08-05 16:16:18 | Load_data_set_files | INFO | Formating Column in order in both df

2025-08-05 16:16:18 | Load_data_set_files | INFO | Staring Concating two df's........
2025-08-05 16:16:18 | Load_data_set_files | INFO | successfully Concated df's

