2025-08-05 15:12:15 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 15:12:15 | evalution-logger | INFO | Model Report Genearated

2025-08-05 16:00:08 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 16:00:08 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 16:00:08 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 16:00:08 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 16:00:08 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 16:00:08 | evalution-logger | INFO | Model Report Genearated

2025-08-05 16:18:24 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 16:18:25 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 16:18:25 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 16:18:25 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 16:18:25 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 16:22:43 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 16:22:43 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 16:22:43 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 16:22:43 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 16:22:43 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 16:53:59 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 16:53:59 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 16:53:59 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 16:53:59 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 16:53:59 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 16:56:56 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 16:56:56 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 16:56:56 | evalution-logger | INFO | Value of MAE for Prophet is 30.16
2025-08-05 16:56:56 | evalution-logger | INFO | Value of RMSE for Prophet is 40.21
2025-08-05 16:56:56 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 17:10:25 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 17:10:25 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 17:10:25 | evalution-logger | INFO | Value of MAE for Prophet is 6.14
2025-08-05 17:10:25 | evalution-logger | INFO | Value of RMSE for Prophet is 7.62
2025-08-05 17:10:25 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 17:15:24 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 17:15:24 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 17:15:24 | evalution-logger | INFO | Value of MAE for Prophet is 12.06
2025-08-05 17:15:24 | evalution-logger | INFO | Value of RMSE for Prophet is 14.94
2025-08-05 17:15:24 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 17:32:20 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 17:32:20 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 17:32:20 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 17:32:20 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 17:32:20 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 17:36:13 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 17:36:13 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 17:36:13 | evalution-logger | INFO | Value of MAE for Prophet is 30.16
2025-08-05 17:36:13 | evalution-logger | INFO | Value of RMSE for Prophet is 40.21
2025-08-05 17:36:13 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 17:39:36 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 17:39:36 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 17:39:36 | evalution-logger | INFO | Value of MAE for Prophet is 6.14
2025-08-05 17:39:36 | evalution-logger | INFO | Value of RMSE for Prophet is 7.62
2025-08-05 17:39:36 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 17:42:23 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 17:42:23 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 17:42:23 | evalution-logger | INFO | Value of MAE for Prophet is 12.06
2025-08-05 17:42:23 | evalution-logger | INFO | Value of RMSE for Prophet is 14.94
2025-08-05 17:42:23 | evalution-logger | INFO | Creating Report of Model.....
